"question","choice1","choice2","choice3","choice4","choice5","answer"
"Aþaðýdakilerden hangisi monopolistik rekabet hakkýnda doðrudur?","Monopolistik rekabet altýnda, pazarda birçok alýcý ve satýcý tek bir piyasa fiyatýnda iþlem yapar.","Monopolistik rekabet altýnda, pazarda sadece birkaç büyük satýcý bulunur.","Monopolistik bir piyasada, pazarlama stratejilerine pek zaman ayrýlmaz.","Satýcýlar ürünlerini alýcýlara farklýlaþtýrabilirler.","Monopolistik bir piyasada, fiyat önemli bir rekabet aracý haline gelir.","D"
"Producing a product or service and making it available to buyers requires building relationships not only with customers but also with key suppliers and resellers in the company's ________.","upstream partnerships","marketing channels","inventory providers","supply chain","downstream partnerships","D"
"The sets of firms that supply companies with the raw materials, components, parts, information, finances, and expertise needed to create products or services are known as ________.","retailers","upstream partners","distributors","downstream partners","distribution channels","B"
"Which of the following terms refers to the wholesalers and retailers that form a vital link between the firm and its customers?","factory-supply networks","downstream partners","resource banks","upstream partners","supply channels","B"
"________ play an important role in efficiently making products available to target markets in the needed varieties and quantities.","Virtual banks","Intermediaries","Price consultants","Uniform-delivery networks","Upstream partners","B"
"Which of the following is an example of an indirect marketing channel?","June Bride, which sells bridal gowns via its click-to-order online catalogs","Farmer Brown, who delivers fresh milk from his dairy to customers every morning","Wine & Dine, which sells its picnic baskets to select novelty stores across the country","Lifebelt Insurance, which sells life insurance through its door-to-door salespeople","Rhonda's Rental, which rents cars to people for the day","C"
"Plasticine Palace supplies its products exclusively to Arts & Crafts, a chain of stationery stores across the country. The chain then makes the plasticine available to end consumers. This is an example of ________.","a direct marketing channel","intensive distribution","an indirect marketing channel","disintermediation","extensive distribution","C"
"Which of the following is Giant Beanstalks' upstream partner?","the management of Greenleaf","the farmers of Riverdale","the trucks that carry Giant Beanstalks' products to Greenleaf","the end-consumers who buy the canned vegetables from Greenleaf","the logistics division of Giant Beanstalk","B"
"A company's total marketing communications mix consists of a specific blend of advertising, sales promotion, public relations, personal selling, and direct-marketing tools that the company uses to communicate customer value and build customer relationships. Which of the following terms best describes this set of communications tools?","the product mix","product line filling","the promotion mix","the price mix","horizontal diversification","C"
"Extel Inc., a home appliance manufacturer, uses sales representatives to sell its products to wholesalers and individual customers. This is an example of ________.","sales promotion","personal selling","public relations","direct and digital marketing","advertising","B"
"The use of short-term incentives to encourage the purchase or sale of a product or service is called ________.","direct and digital marketing","sales promotion","personal selling","public relations","publicity","B"
"Which of the following promotion tools involves building up a good corporate image and handling unfavorable stories and events?","sales promotion","personal selling","direct and digital marketing","public relations","advertising","D"
"Which of the following is a specialized and highly targeted media selection that an advertiser might use to reach smaller customer segments with personalized content?","radio","magazines","newspapers","network television","online social networks","E"
"Integrated marketing communications require a company's mass-market advertisements, Web site, e-mail, and personal selling communications to all ________.","have equal portions of the advertising budget","use independent communications directors","develop separate marketing objectives","engage the same target audience","deliver a clear, consistent, and compelling message","E"
"Delia's is a clothing retailer that targets teenage girls. The company runs coordinated promotions for its catalogs, Web site, and retail outlets. It uses the same models in its catalog, print ads, and Web site. Delia's works to make sure its public relations activities as well as its sales promotions harmonize with its advertising in all aspects. From this information, we can infer that Delia's is using ________.","buzz marketing","experiential marketing","integrated marketing communication","word-of-mouth marketing","database marketing","C"
"________ refers to the process of putting thought into symbolic form.","Sending","Encoding","Decoding","Receiving","Feedback","B"
"HP's advertising agency assembles words and illustrations into an advertisement that conveys the company's intended brand message. In the context of the communication process, HP is ________.","messaging","decoding","sending","encoding","responding","D"
